Sweden, Live births by birth cohort and age (horizontal parallelograms, age in completed years (ACY))
Last modified: 21/03/2016
Cohort  Age        Total
1843     34            .
1843     35            .
1843     36            .
1843     37            .
1843     38            .
1843     39            .
1843     40            .
1843     41            .
1843     42            .
1843     43            .
1843     44            .
1843     45            .
1843     46            .
1843     47            .
1843     48       131.21
1843     49        49.96
1843     50        16.18
1843     51         0.00
1843     52         0.00
1843     53         0.00
1843     54         0.00
1843     55+        0.00
1844     12-           .
1844     13            .
1844     14            .
1844     15            .
1844     16            .
1844     17            .
1844     18            .
1844     19            .
1844     20            .
1844     21            .
1844     22            .
1844     23            .
1844     24            .
1844     25            .
1844     26            .
1844     27            .
1844     28            .
1844     29            .
1844     30            .
1844     31            .
1844     32            .
1844     33            .
1844     34            .
1844     35            .
1844     36            .
1844     37            .
1844     38            .
1844     39            .
1844     40            .
1844     41            .
1844     42            .
1844     43            .
1844     44            .
1844     45            .
1844     46            .
1844     47       254.23
1844     48       119.19
1844     49        51.96
1844     50        19.04
1844     51         0.00
1844     52         0.00
1844     53         0.00
1844     54         0.00
1844     55+        0.00
1845     12-           .
1845     13            .
1845     14            .
1845     15            .
1845     16            .
1845     17            .
1845     18            .
1845     19            .
1845     20            .
1845     21            .
1845     22            .
1845     23            .
1845     24            .
1845     25            .
1845     26            .
1845     27            .
1845     28            .
1845     29            .
1845     30            .
1845     31            .
1845     32            .
1845     33            .
1845     34            .
1845     35            .
1845     36            .
1845     37            .
1845     38            .
1845     39            .
1845     40            .
1845     41            .
1845     42            .
1845     43            .
1845     44            .
1845     45            .
1845     46       523.17
1845     47       241.09
1845     48       109.50
1845     49        40.48
1845     50        11.45
1845     51         0.00
1845     52         0.26
1845     53         0.00
1845     54         0.00
1845     55+        0.00
1846     12-           .
1846     13            .
1846     14            .
1846     15            .
1846     16            .
1846     17            .
1846     18            .
1846     19            .
1846     20            .
1846     21            .
1846     22            .
1846     23            .
1846     24            .
1846     25            .
1846     26            .
1846     27            .
1846     28            .
1846     29            .
1846     30            .
1846     31            .
1846     32            .
1846     33            .
1846     34            .
1846     35            .
1846     36            .
1846     37            .
1846     38            .
1846     39            .
1846     40            .
1846     41            .
1846     42            .
1846     43            .
1846     44            .
1846     45       867.94
1846     46       467.86
1846     47       225.10
1846     48        80.49
1846     49        23.75
1846     50         8.85
1846     51         1.87
1846     52         0.73
1846     53         0.00
1846     54         0.00
1846     55+        0.00
1847     12-           .
1847     13            .
1847     14            .
1847     15            .
1847     16            .
1847     17            .
1847     18            .
1847     19            .
1847     20            .
1847     21            .
1847     22            .
1847     23            .
1847     24            .
1847     25            .
1847     26            .
1847     27            .
1847     28            .
1847     29            .
1847     30            .
1847     31            .
1847     32            .
1847     33            .
1847     34            .
1847     35            .
1847     36            .
1847     37            .
1847     38            .
1847     39            .
1847     40            .
1847     41            .
1847     42            .
1847     43            .
1847     44      1418.47
1847     45       892.50
1847     46       460.78
1847     47       219.95
1847     48        72.97
1847     49        24.55
1847     50        10.20
1847     51         3.56
1847     52         0.26
1847     53         0.00
1847     54         0.00
1847     55+        0.00
1848     12-           .
1848     13            .
1848     14            .
1848     15            .
1848     16            .
1848     17            .
1848     18            .
1848     19            .
1848     20            .
1848     21            .
1848     22            .
1848     23            .
1848     24            .
1848     25            .
1848     26            .
1848     27            .
1848     28            .
1848     29            .
1848     30            .
1848     31            .
1848     32            .
1848     33            .
1848     34            .
1848     35            .
1848     36            .
1848     37            .
1848     38            .
1848     39            .
1848     40            .
1848     41            .
1848     42            .
1848     43      2153.66
1848     44      1440.75
1848     45       939.61
1848     46       451.55
1848     47       218.44
1848     48        94.03
1848     49        32.93
1848     50         9.79
1848     51         2.32
1848     52         1.29
1848     53         0.00
1848     54         0.00
1848     55+        0.00
1849     12-           .
1849     13            .
1849     14            .
1849     15            .
1849     16            .
1849     17            .
1849     18            .
1849     19            .
1849     20            .
1849     21            .
1849     22            .
1849     23            .
1849     24            .
1849     25            .
1849     26            .
1849     27            .
1849     28            .
1849     29            .
1849     30            .
1849     31            .
1849     32            .
1849     33            .
1849     34            .
1849     35            .
1849     36            .
1849     37            .
1849     38            .
1849     39            .
1849     40            .
1849     41            .
1849     42      2926.39
1849     43      2221.78
1849     44      1548.98
1849     45       983.17
1849     46       469.59
1849     47       218.70
1849     48        85.07
1849     49        32.93
1849     50         7.37
1849     51         1.64
1849     52         1.42
1849     53         0.00
1849     54         0.00
1849     55+        0.00
1850     12-           .
1850     13            .
1850     14            .
1850     15            .
1850     16            .
1850     17            .
1850     18            .
1850     19            .
1850     20            .
1850     21            .
1850     22            .
1850     23            .
1850     24            .
1850     25            .
1850     26            .
1850     27            .
1850     28            .
1850     29            .
1850     30            .
1850     31            .
1850     32            .
1850     33            .
1850     34            .
1850     35            .
1850     36            .
1850     37            .
1850     38            .
1850     39            .
1850     40            .
1850     41      3401.44
1850     42      2789.00
1850     43      2169.67
1850     44      1513.16
1850     45       893.19
1850     46       463.03
1850     47       220.14
1850     48        82.86
1850     49        34.25
1850     50         5.41
1850     51         1.01
1850     52         0.00
1850     53         0.00
1850     54         0.00
1850     55+        0.00
1851     12-           .
1851     13            .
1851     14            .
1851     15            .
1851     16            .
1851     17            .
1851     18            .
1851     19            .
1851     20            .
1851     21            .
1851     22            .
1851     23            .
1851     24            .
1851     25            .
1851     26            .
1851     27            .
1851     28            .
1851     29            .
1851     30            .
1851     31            .
1851     32            .
1851     33            .
1851     34            .
1851     35            .
1851     36            .
1851     37            .
1851     38            .
1851     39            .
1851     40      4057.10
1851     41      3253.14
1851     42      2774.52
1851     43      2122.17
1851     44      1457.88
1851     45       881.79
1851     46       463.45
1851     47       216.41
1851     48        86.00
1851     49        32.69
1851     50         6.36
1851     51         1.47
1851     52         0.33
1851     53         0.00
1851     54         0.00
1851     55+        0.00
1852     12-           .
1852     13            .
1852     14            .
1852     15            .
1852     16            .
1852     17            .
1852     18            .
1852     19            .
1852     20            .
1852     21            .
1852     22            .
1852     23            .
1852     24            .
1852     25            .
1852     26            .
1852     27            .
1852     28            .
1852     29            .
1852     30            .
1852     31            .
1852     32            .
1852     33            .
1852     34            .
1852     35            .
1852     36            .
1852     37            .
1852     38            .
1852     39      4224.59
1852     40      3718.39
1852     41      3127.97
1852     42      2602.87
1852     43      1990.16
1852     44      1320.19
1852     45       791.77
1852     46       428.21
1852     47       190.19
1852     48        88.60
1852     49        22.43
1852     50         5.56
1852     51         0.00
1852     52         0.97
1852     53         0.00
1852     54         0.00
1852     55+        0.00
1853     12-           .
1853     13            .
1853     14            .
1853     15            .
1853     16            .
1853     17            .
1853     18            .
1853     19            .
1853     20            .
1853     21            .
1853     22            .
1853     23            .
1853     24            .
1853     25            .
1853     26            .
1853     27            .
1853     28            .
1853     29            .
1853     30            .
1853     31            .
1853     32            .
1853     33            .
1853     34            .
1853     35            .
1853     36            .
1853     37            .
1853     38      4765.23
1853     39      4391.95
1853     40      4058.08
1853     41      3370.81
1853     42      2754.95
1853     43      2054.75
1853     44      1346.85
1853     45       793.20
1853     46       444.87
1853     47       195.02
1853     48        85.64
1853     49        22.68
1853     50         5.03
1853     51         0.00
1853     52         0.68
1853     53         0.00
1853     54         0.00
1853     55+        0.00
1854     12-           .
1854     13            .
1854     14            .
1854     15            .
1854     16            .
1854     17            .
1854     18            .
1854     19            .
1854     20            .
1854     21            .
1854     22            .
1854     23            .
1854     24            .
1854     25            .
1854     26            .
1854     27            .
1854     28            .
1854     29            .
1854     30            .
1854     31            .
1854     32            .
1854     33            .
1854     34            .
1854     35            .
1854     36            .
1854     37      5738.84
1854     38      5207.92
1854     39      4907.61
1854     40      4529.08
1854     41      3737.58
1854     42      3083.78
1854     43      2281.28
1854     44      1529.50
1854     45       896.97
1854     46       507.93
1854     47       217.05
1854     48        91.85
1854     49        36.50
1854     50         7.16
1854     51         0.91
1854     52         0.34
1854     53         0.00
1854     54         0.00
1854     55+        0.00
1855     12-           .
1855     13            .
1855     14            .
1855     15            .
1855     16            .
1855     17            .
1855     18            .
1855     19            .
1855     20            .
1855     21            .
1855     22            .
1855     23            .
1855     24            .
1855     25            .
1855     26            .
1855     27            .
1855     28            .
1855     29            .
1855     30            .
1855     31            .
1855     32            .
1855     33            .
1855     34            .
1855     35            .
1855     36      5615.26
1855     37      5155.51
1855     38      4884.97
1855     39      4480.48
1855     40      4074.62
1855     41      3355.39
1855     42      2752.74
1855     43      2043.22
1855     44      1394.05
1855     45       839.96
1855     46       447.41
1855     47       181.91
1855     48        80.01
1855     49        21.03
1855     50         5.62
1855     51         2.06
1855     52         0.65
1855     53         0.00
1855     54         0.00
1855     55+        0.00
1856     12-           .
1856     13            .
1856     14            .
1856     15            .
1856     16            .
1856     17            .
1856     18            .
1856     19            .
1856     20            .
1856     21            .
1856     22            .
1856     23            .
1856     24            .
1856     25            .
1856     26            .
1856     27            .
1856     28            .
1856     29            .
1856     30            .
1856     31            .
1856     32            .
1856     33            .
1856     34            .
1856     35      5856.71
1856     36      5530.71
1856     37      5216.61
1856     38      4863.85
1856     39      4386.64
1856     40      3950.59
1856     41      3288.10
1856     42      2631.52
1856     43      2003.45
1856     44      1356.81
1856     45       817.13
1856     46       424.53
1856     47       168.20
1856     48        71.60
1856     49        20.14
1856     50         3.37
1856     51         0.00
1856     52         0.00
1856     53         0.00
1856     54         0.00
1856     55+        0.00
1857     12-           .
1857     13            .
1857     14            .
1857     15            .
1857     16            .
1857     17            .
1857     18            .
1857     19            .
1857     20            .
1857     21            .
1857     22            .
1857     23            .
1857     24            .
1857     25            .
1857     26            .
1857     27            .
1857     28            .
1857     29            .
1857     30            .
1857     31            .
1857     32            .
1857     33            .
1857     34      6122.54
1857     35      5972.28
1857     36      5703.35
1857     37      5391.47
1857     38      5017.54
1857     39      4444.12
1857     40      4041.62
1857     41      3378.06
1857     42      2695.66
1857     43      2047.22
1857     44      1355.75
1857     45       796.57
1857     46       433.69
1857     47       175.33
1857     48        71.67
1857     49        25.52
1857     50         7.07
1857     51         0.00
1857     52         0.00
1857     53         0.00
1857     54         0.00
1857     55+        0.00
1858     12-           .
1858     13            .
1858     14            .
1858     15            .
1858     16            .
1858     17            .
1858     18            .
1858     19            .
1858     20            .
1858     21            .
1858     22            .
1858     23            .
1858     24            .
1858     25            .
1858     26            .
1858     27            .
1858     28            .
1858     29            .
1858     30            .
1858     31            .
1858     32            .
1858     33      6922.95
1858     34      6621.62
1858     35      6438.06
1858     36      6182.22
1858     37      5924.08
1858     38      5364.37
1858     39      4808.02
1858     40      4296.30
1858     41      3614.13
1858     42      2910.99
1858     43      2215.09
1858     44      1474.73
1858     45       821.28
1858     46       430.54
1858     47       190.78
1858     48        71.52
1858     49        23.45
1858     50         7.05
1858     51         0.26
1858     52         0.00
1858     53         0.00
1858     54         0.00
1858     55+        0.00
1859     12-           .
1859     13            .
1859     14            .
1859     15            .
1859     16            .
1859     17            .
1859     18            .
1859     19            .
1859     20            .
1859     21            .
1859     22            .
1859     23            .
1859     24            .
1859     25            .
1859     26            .
1859     27            .
1859     28            .
1859     29            .
1859     30            .
1859     31            .
1859     32      7385.89
1859     33      6898.34
1859     34      6752.91
1859     35      6587.04
1859     36      6266.43
1859     37      5919.75
1859     38      5362.78
1859     39      4846.94
1859     40      4301.34
1859     41      3654.29
1859     42      2919.99
1859     43      2161.28
1859     44      1426.12
1859     45       858.31
1859     46       451.99
1859     47       190.55
1859     48        66.97
1859     49        25.98
1859     50         8.16
1859     51         1.26
1859     52         0.00
1859     53         0.00
1859     54         0.00
1859     55+        0.00
1860     12-           .
1860     13            .
1860     14            .
1860     15            .
1860     16            .
1860     17            .
1860     18            .
1860     19            .
1860     20            .
1860     21            .
1860     22            .
1860     23            .
1860     24            .
1860     25            .
1860     26            .
1860     27            .
1860     28            .
1860     29            .
1860     30            .
1860     31      7355.00
1860     32      7342.39
1860     33      7006.33
1860     34      6783.01
1860     35      6573.58
1860     36      6079.48
1860     37      5801.93
1860     38      5314.07
1860     39      4805.38
1860     40      4311.21
1860     41      3552.34
1860     42      2832.86
1860     43      2046.28
1860     44      1422.34
1860     45       885.83
1860     46       439.99
1860     47       174.51
1860     48        68.94
1860     49        23.20
1860     50         3.26
1860     51         1.71
1860     52         0.62
1860     53         0.00
1860     54         0.00
1860     55+        0.00
1861     12-           .
1861     13            .
1861     14            .
1861     15            .
1861     16            .
1861     17            .
1861     18            .
1861     19            .
1861     20            .
1861     21            .
1861     22            .
1861     23            .
1861     24            .
1861     25            .
1861     26            .
1861     27            .
1861     28            .
1861     29            .
1861     30      7136.78
1861     31      6745.65
1861     32      6759.29
1861     33      6499.13
1861     34      6319.84
1861     35      5920.77
1861     36      5623.88
1861     37      5275.16
1861     38      4840.05
1861     39      4497.12
1861     40      3881.75
1861     41      3178.77
1861     42      2547.87
1861     43      1889.20
1861     44      1305.99
1861     45       761.72
1861     46       413.48
1861     47       176.53
1861     48        61.55
1861     49        24.05
1861     50         5.24
1861     51         1.19
1861     52         1.63
1861     53         0.00
1861     54         0.00
1861     55+        0.00
1862     12-           .
1862     13            .
1862     14            .
1862     15            .
1862     16            .
1862     17            .
1862     18            .
1862     19            .
1862     20            .
1862     21            .
1862     22            .
1862     23            .
1862     24            .
1862     25            .
1862     26            .
1862     27            .
1862     28            .
1862     29      7197.40
1862     30      7227.28
1862     31      6962.56
1862     32      6945.72
1862     33      6749.95
1862     34      6499.43
1862     35      6226.26
1862     36      5908.96
1862     37      5509.96
1862     38      5112.73
1862     39      4678.87
1862     40      3939.46
1862     41      3300.78
1862     42      2678.27
1862     43      1969.62
1862     44      1354.84
1862     45       797.81
1862     46       413.24
1862     47       186.90
1862     48        61.66
1862     49        26.24
1862     50         6.76
1862     51         1.00
1862     52         0.98
1862     53         0.00
1862     54         0.00
1862     55+        0.00
1863     12-           .
1863     13            .
1863     14            .
1863     15            .
1863     16            .
1863     17            .
1863     18            .
1863     19            .
1863     20            .
1863     21            .
1863     22            .
1863     23            .
1863     24            .
1863     25            .
1863     26            .
1863     27            .
1863     28      7337.06
1863     29      7319.08
1863     30      7426.72
1863     31      7294.46
1863     32      7090.47
1863     33      6877.39
1863     34      6635.70
1863     35      6378.52
1863     36      6022.52
1863     37      5746.65
1863     38      5181.79
1863     39      4602.57
1863     40      4020.33
1863     41      3407.67
1863     42      2771.63
1863     43      1978.54
1863     44      1343.95
1863     45       830.21
1863     46       405.16
1863     47       172.46
1863     48        64.52
1863     49        24.31
1863     50         4.53
1863     51         1.41
1863     52         0.73
1863     53         0.00
1863     54         0.00
1863     55+        0.00
1864     12-           .
1864     13            .
1864     14            .
1864     15            .
1864     16            .
1864     17            .
1864     18            .
1864     19            .
1864     20            .
1864     21            .
1864     22            .
1864     23            .
1864     24            .
1864     25            .
1864     26            .
1864     27      7244.86
1864     28      7215.11
1864     29      7411.46
1864     30      7496.16
1864     31      7458.81
1864     32      7070.15
1864     33      6973.50
1864     34      6614.46
1864     35      6293.34
1864     36      6024.48
1864     37      5640.35
1864     38      5093.21
1864     39      4480.10
1864     40      4069.83
1864     41      3389.15
1864     42      2736.45
1864     43      1960.02
1864     44      1292.54
1864     45       787.59
1864     46       413.70
1864     47       168.64
1864     48        63.32
1864     49        19.08
1864     50         2.48
1864     51         1.89
1864     52         0.29
1864     53         0.00
1864     54         0.00
1864     55+        0.00
1865     12-           .
1865     13            .
1865     14            .
1865     15            .
1865     16            .
1865     17            .
1865     18            .
1865     19            .
1865     20            .
1865     21            .
1865     22            .
1865     23            .
1865     24            .
1865     25            .
1865     26      6723.19
1865     27      6891.00
1865     28      6935.47
1865     29      7205.25
1865     30      7254.18
1865     31      7080.43
1865     32      7001.57
1865     33      6651.93
1865     34      6426.17
1865     35      6186.71
1865     36      5738.29
1865     37      5304.23
1865     38      4891.49
1865     39      4316.30
1865     40      3907.03
1865     41      3259.55
1865     42      2590.28
1865     43      1878.93
1865     44      1206.31
1865     45       711.75
1865     46       386.40
1865     47       155.59
1865     48        54.09
1865     49        19.09
1865     50         4.57
1865     51         2.62
1865     52         0.70
1865     53         0.00
1865     54         0.00
1865     55+        0.00
1866     12-           .
1866     13            .
1866     14            .
1866     15            .
1866     16            .
1866     17            .
1866     18            .
1866     19            .
1866     20            .
1866     21            .
1866     22            .
1866     23            .
1866     24            .
1866     25      6380.15
1866     26      6576.23
1866     27      6843.16
1866     28      7168.86
1866     29      7273.13
1866     30      7229.16
1866     31      7070.67
1866     32      6899.93
1866     33      6622.24
1866     34      6541.42
1866     35      6145.07
1866     36      5634.34
1866     37      5215.25
1866     38      4892.61
1866     39      4297.37
1866     40      3847.51
1866     41      3195.96
1866     42      2598.89
1866     43      1848.95
1866     44      1207.80
1866     45       714.66
1866     46       376.99
1866     47       154.47
1866     48        57.69
1866     49        21.97
1866     50         5.63
1866     51         0.54
1866     52         0.00
1866     53         0.00
1866     54         0.00
1866     55+        0.00
1867     12-           .
1867     13            .
1867     14            .
1867     15            .
1867     16            .
1867     17            .
1867     18            .
1867     19            .
1867     20            .
1867     21            .
1867     22            .
1867     23            .
1867     24      5253.53
1867     25      5615.23
1867     26      5979.02
1867     27      6326.73
1867     28      6581.35
1867     29      6524.78
1867     30      6513.57
1867     31      6412.31
1867     32      6179.55
1867     33      6056.52
1867     34      5800.61
1867     35      5402.13
1867     36      5064.25
1867     37      4703.46
1867     38      4330.06
1867     39      3809.52
1867     40      3370.64
1867     41      2801.08
1867     42      2306.90
1867     43      1608.98
1867     44      1046.50
1867     45       619.71
1867     46       322.06
1867     47       143.23
1867     48        48.17
1867     49        19.75
1867     50         2.92
1867     51         0.29
1867     52         0.00
1867     53         0.00
1867     54         0.00
1867     55+        0.00
1868     12-           .
1868     13            .
1868     14            .
1868     15            .
1868     16            .
1868     17            .
1868     18            .
1868     19            .
1868     20            .
1868     21            .
1868     22            .
1868     23      3980.45
1868     24      4568.62
1868     25      4931.77
1868     26      5331.48
1868     27      5632.87
1868     28      5674.70
1868     29      5799.27
1868     30      5675.80
1868     31      5638.68
1868     32      5554.72
1868     33      5277.63
1868     34      5031.89
1868     35      4638.54
1868     36      4441.78
1868     37      4063.29
1868     38      3731.72
1868     39      3292.93
1868     40      2949.00
1868     41      2427.84
1868     42      1921.95
1868     43      1370.33
1868     44       905.12
1868     45       519.56
1868     46       280.97
1868     47       108.27
1868     48        34.34
1868     49        13.33
1868     50         2.21
1868     51         0.70
1868     52         0.00
1868     53         0.00
1868     54         0.00
1868     55+        0.00
1869     12-           .
1869     13            .
1869     14            .
1869     15            .
1869     16            .
1869     17            .
1869     18            .
1869     19            .
1869     20            .
1869     21            .
1869     22      3832.79
1869     23      4452.00
1869     24      5095.17
1869     25      5642.65
1869     26      5984.49
1869     27      6134.28
1869     28      6327.72
1869     29      6442.86
1869     30      6260.79
1869     31      6265.35
1869     32      5982.55
1869     33      5665.48
1869     34      5444.71
1869     35      5066.83
1869     36      4819.30
1869     37      4416.27
1869     38      4055.83
1869     39      3567.31
1869     40      3164.80
1869     41      2604.69
1869     42      2012.51
1869     43      1452.95
1869     44       948.41
1869     45       546.92
1869     46       291.64
1869     47       113.03
1869     48        40.05
1869     49        12.65
1869     50         2.77
1869     51         0.25
1869     52         0.00
1869     53         0.00
1869     54         0.00
1869     55+        0.00
1870     12-           .
1870     13            .
1870     14            .
1870     15            .
1870     16            .
1870     17            .
1870     18            .
1870     19            .
1870     20            .
1870     21      3037.33
1870     22      3875.05
1870     23      4693.37
1870     24      5365.41
1870     25      5975.35
1870     26      6266.45
1870     27      6475.82
1870     28      6547.24
1870     29      6597.87
1870     30      6627.69
1870     31      6438.86
1870     32      6082.72
1870     33      5819.25
1870     34      5637.85
1870     35      5313.09
1870     36      5023.24
1870     37      4601.95
1870     38      4235.44
1870     39      3717.13
1870     40      3156.65
1870     41      2658.26
1870     42      2057.75
1870     43      1515.71
1870     44       989.40
1870     45       574.03
1870     46       287.54
1870     47       133.58
1870     48        46.07
1870     49        17.63
1870     50         5.90
1870     51         0.74
1870     52         0.52
1870     53         0.00
1870     54         0.00
1870     55+        0.00
1871     12-           .
1871     13            .
1871     14            .
1871     15            .
1871     16            .
1871     17            .
1871     18            .
1871     19            .
1871     20      2346.27
1871     21      3181.64
1871     22      4076.48
1871     23      5139.06
1871     24      5786.95
1871     25      6293.76
1871     26      6692.50
1871     27      7010.01
1871     28      7071.06
1871     29      7156.61
1871     30      6992.04
1871     31      6652.31
1871     32      6436.83
1871     33      6246.67
1871     34      5982.76
1871     35      5609.91
1871     36      5258.46
1871     37      4908.70
1871     38      4442.79
1871     39      3934.78
1871     40      3307.41
1871     41      2735.29
1871     42      2136.92
1871     43      1564.72
1871     44      1010.32
1871     45       601.53
1871     46       305.08
1871     47       131.46
1871     48        54.66
1871     49        14.15
1871     50         2.95
1871     51         1.45
1871     52         1.46
1871     53         0.00
1871     54         0.00
1871     55+        0.00
1872     12-           .
1872     13            .
1872     14            .
1872     15            .
1872     16            .
1872     17            .
1872     18            .
1872     19      1308.69
1872     20      2214.68
1872     21      3062.73
1872     22      4114.73
1872     23      5048.67
1872     24      5686.68
1872     25      6180.21
1872     26      6623.08
1872     27      6883.28
1872     28      7106.23
1872     29      7050.25
1872     30      6709.62
1872     31      6513.37
1872     32      6347.62
1872     33      6046.93
1872     34      5803.14
1872     35      5392.34
1872     36      5062.10
1872     37      4693.07
1872     38      4216.69
1872     39      3790.52
1872     40      3176.53
1872     41      2606.89
1872     42      2022.10
1872     43      1437.31
1872     44       916.78
1872     45       568.15
1872     46       285.49
1872     47       120.37
1872     48        53.60
1872     49        13.37
1872     50         2.80
1872     51         1.52
1872     52         0.32
1872     53         0.00
1872     54         0.00
1872     55+        0.00
1873     12-           .
1873     13            .
1873     14            .
1873     15            .
1873     16            .
1873     17            .
1873     18       659.01
1873     19      1369.75
1873     20      2244.89
1873     21      3255.02
1873     22      4350.78
1873     23      5159.96
1873     24      5930.99
1873     25      6425.06
1873     26      6823.82
1873     27      7163.42
1873     28      7183.48
1873     29      7024.94
1873     30      6781.91
1873     31      6692.22
1873     32      6453.33
1873     33      6044.70
1873     34      5822.13
1873     35      5490.01
1873     36      5079.55
1873     37      4678.52
1873     38      4163.75
1873     39      3721.92
1873     40      3177.07
1873     41      2590.69
1873     42      1996.99
1873     43      1433.22
1873     44       903.63
1873     45       550.57
1873     46       283.23
1873     47       123.57
1873     48        47.23
1873     49        17.29
1873     50         2.41
1873     51         0.00
1873     52         0.67
1873     53         0.32
1873     54         0.00
1873     55+        0.00
1874     12-           .
1874     13            .
1874     14            .
1874     15            .
1874     16            .
1874     17       270.65
1874     18       658.40
1874     19      1386.61
1874     20      2353.03
1874     21      3463.68
1874     22      4489.49
1874     23      5289.37
1874     24      6028.37
1874     25      6558.87
1874     26      6977.99
1874     27      7178.37
1874     28      7071.46
1874     29      6973.87
1874     30      6867.51
1874     31      6657.15
1874     32      6547.52
1874     33      6078.44
1874     34      5864.49
1874     35      5481.91
1874     36      5027.83
